index,raw,mean,median
0,19.4498,19.4498,19.4498
1,20.5154,19.9826,20.5154
2,20.4739,20.1464,20.4739
3,21.3685,20.4519,20.5154
4,19.0832,20.1781,20.4739
5,19.8759,20.2634,20.4739
6,17.989,19.7581,19.8759
7,19.5072,19.5647,19.5072
8,20.3926,19.3696,19.5072
9,19.0708,19.3671,19.5072
10,100,35.3919,19.5072
11,19.8405,35.7622,19.8405
12,20.0222,35.8652,20.0222
13,19.5722,35.7011,19.8405
14,19.4682,35.7806,19.8405
15,19.8825,19.7571,19.8405
16,20.2221,19.8334,19.8825
17,19.232,19.6754,19.5722
18,20.1425,19.7895,19.8825
19,19.9653,19.8889,19.9653
20,21.1343,20.1393,20.1425
21,19.8953,20.0739,19.9653
22,19.4749,20.1225,19.9653
23,21.9128,20.4765,19.9653
24,17.9733,20.0781,19.8953
25,21.1194,20.0751,19.8953
26,20.7792,20.2519,20.7792
27,18.8989,20.1367,20.7792
28,21.1302,19.9802,20.7792
29,20.3731,20.4602,20.7792
30,100,36.2363,20.7792
31,18.8412,35.8487,20.3731
32,20.5661,36.1821,20.5661
33,19.2955,35.8152,20.3731
34,18.6221,35.465,19.2955
35,19.6469,19.3944,19.2955
36,19.5385,19.5338,19.5385
37,20.0667,19.4339,19.5385
38,19.8237,19.5396,19.6469
39,21.2009,20.0553,19.8237
40,20.6984,20.2656,20.0667
41,19.8284,20.3236,20.0667
42,19.0928,20.1288,19.8284
43,21.1886,20.4018,20.6984
44,20.7855,20.3187,20.6984
45,22.656,20.7103,20.7855
46,20.2635,20.7973,20.7855
47,21.6418,21.3071,21.1886
48,20.4608,21.1615,20.7855
49,20.0859,21.0216,20.4608
